pddl_80_20                         fastest       │ slowest       │ median        │ mean          │ samples │ iters
├─ classical                                     │               │               │               │         │
│  ╰─ todo_dependencies            IR: 531us, Ground: 24us, Solve: 5us, POWL: 0us
IR: 24us, Ground: 3us, Solve: 3us, POWL: 0us
IR: 32us, Ground: 3us, Solve: 12us, POWL: 0us
IR: 22us, Ground: 10us, Solve: 4us, POWL: 0us
IR: 22us, Ground: 6us, Solve: 3us, POWL: 0us
IR: 21us, Ground: 2us, Solve: 4us, POWL: 0us
IR: 23us, Ground: 4us, Solve: 2us, POWL: 0us
IR: 20us, Ground: 6us, Solve: 6us, POWL: 0us
IR: 21us, Ground: 2us, Solve: 1us, POWL: 0us
IR: 19us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 18us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 18us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 18us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 20us, Ground: 1us, Solve: 3us, POWL: 0us
IR: 18us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 4us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 18us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 18us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 18us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 18us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 18us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 11us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 3us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 18us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 18us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 21us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 1us, Solve: 1us, POWL: 0us
23.66 µs      │ 679.9 µs      │ 25.74 µs      │ 34.06 µs      │ 100     │ 100
├─ composed                                      │               │               │               │         │
│  ╰─ composed_enterprise_rollout  IR: 54us, Ground: 4us, Solve: 4us, POWL: 0us
IR: 27us, Ground: 2us, Solve: 2us, POWL: 0us
IR: 26us, Ground: 2us, Solve: 2us, POWL: 0us
IR: 25us, Ground: 2us, Solve: 1us, POWL: 0us
IR: 24us, Ground: 2us, Solve: 9us, POWL: 0us
IR: 27us, Ground: 2us, Solve: 1us, POWL: 0us
IR: 28us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 28us, Ground: 2us, Solve: 1us, POWL: 2us
IR: 34us, Ground: 1us, Solve: 3us, POWL: 0us
IR: 24us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 24us, Ground: 1us, Solve: 4us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 26us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 36us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 32us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 32us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 31us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 22us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 22us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 22us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 22us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 22us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 22us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 22us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 22us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 22us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 22us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 22us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 2us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 22us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 22us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 22us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
IR: 23us, Ground: 1us, Solve: 1us, POWL: 0us
30.41 µs      │ 70.33 µs      │ 31.12 µs      │ 32.63 µs      │ 100     │ 100
├─ constraints                                   │               │               │               │         │
│  ╰─ compliant_rollout            IR: 23us, Ground: 1us, Solve: 4us, POWL: 0us
IR: 18us, Ground: 1us, Solve: 2us, POWL: 0us
IR: 17us, Ground: 0us, Solve: 2us, POWL: 0us
IR: 17us, Ground: 0us, Solve: 2us, POWL: 0us
IR: 17us, Ground: 0us, Solve: 2us, POWL: 0us
IR: 22us, Ground: 0us, Solve: 3us, POWL: 0us
IR: 17us, Ground: 0us, Solve: 2us, POWL: 0us
IR: 19us, Ground: 0us, Solve: 2us, POWL: 0us
IR: 17us, Ground: 0us, Solve: 2us, POWL: 0us
