opponent,budget,budget_micros,go_command,wins,draws,losses,total,score_rate,ci_lo,ci_hi,perf_elo,factory_us_median,factory_us_p99,opp_us_median,opp_us_p99,moves_sampled
stockfish,t100us,100,go depth 1,7,1,8,16,0.4688,0.2242,0.7133,1478.3,3368,151006,244,7302,1187
stockfish,t250us,250,go depth 2,4,1,11,16,0.2812,0.0609,0.5016,1337.0,4233,188087,302,5685,1263
stockfish,t500us,500,go depth 3,1,3,12,16,0.1562,0.0000,0.3342,1207.0,3238,138354,284,1706,1435
stockfish,t1ms,1000,go movetime 1,1,0,15,16,0.0625,0.0000,0.1811,1029.6,8481,519871,1311,26092,853
stockfish,t10ms,10000,go movetime 10,0,0,16,16,0.0000,0.0000,0.0000,700.0,10204,135298,9906,14733,569
sanity_random,t100us,100,go depth 1,16,0,0,16,1.0000,1.0000,1.0000,2300.0,9578,168245,30,417,337
sanity_random,t250us,250,go depth 1,16,0,0,16,1.0000,1.0000,1.0000,2300.0,9571,171121,29,105,337
sanity_random,t500us,500,go depth 1,16,0,0,16,1.0000,1.0000,1.0000,2300.0,9566,170606,28,111,337
sanity_random,t1ms,1000,go depth 1,16,0,0,16,1.0000,1.0000,1.0000,2300.0,9549,169345,27,169,337
sanity_random,t10ms,10000,go depth 1,16,0,0,16,1.0000,1.0000,1.0000,2300.0,9509,169254,28,275,337
sanity_greedy,t100us,100,go depth 1,15,1,0,16,0.9688,0.8835,1.0000,2096.5,23309,257841,40,720,389
sanity_greedy,t250us,250,go depth 1,15,1,0,16,0.9688,0.8835,1.0000,2096.5,23780,256267,35,316,389
sanity_greedy,t500us,500,go depth 1,15,1,0,16,0.9688,0.8835,1.0000,2096.5,23680,257414,40,882,389
sanity_greedy,t1ms,1000,go depth 1,15,1,0,16,0.9688,0.8835,1.0000,2096.5,26662,332767,42,5295,389
sanity_greedy,t10ms,10000,go depth 1,15,1,0,16,0.9688,0.8835,1.0000,2096.5,26221,465776,44,2774,389
bcinr_uci,t100us,100,go movetime 1,11,4,1,16,0.8125,0.6212,1.0000,1754.7,9338,150056,1030,7540,905
bcinr_uci,t250us,250,go movetime 1,7,5,4,16,0.5938,0.3531,0.8344,1565.9,6852,126410,1026,12219,1269
bcinr_uci,t500us,500,go movetime 1,9,6,1,16,0.7500,0.5378,0.9622,1690.8,9750,413035,1033,18822,1075
bcinr_uci,t1ms,1000,go movetime 1,7,6,3,16,0.6250,0.3878,0.8622,1588.7,6852,126088,1023,1073,1276
bcinr_uci,t10ms,10000,go movetime 10,4,3,9,16,0.3438,0.1110,0.5765,1387.7,7973,130644,10026,10079,1080
bcinr_az,t100us,100,go movetime 1,16,0,0,16,1.0000,1.0000,1.0000,2300.0,29915,166724,1749,2299,125
bcinr_az,t250us,250,go movetime 1,16,0,0,16,1.0000,1.0000,1.0000,2300.0,29749,166009,1782,2042,125
bcinr_az,t500us,500,go movetime 1,16,0,0,16,1.0000,1.0000,1.0000,2300.0,29789,165955,1766,2482,125
bcinr_az,t1ms,1000,go movetime 1,16,0,0,16,1.0000,1.0000,1.0000,2300.0,29725,166482,1772,1985,125
bcinr_az,t10ms,10000,go movetime 10,14,2,0,16,0.9375,0.8189,1.0000,1970.4,18539,213240,14465,23346,705
