Algorithm/Abstraction                    | Score      | Status
----------------------------------------------------------------------
bitset.rs                                | 100        | PhD-Verified ✅
ct.rs                                    | 100        | PhD-Verified ✅
dfa.rs                                   | 100        | PhD-Verified ✅
exec.rs                                  | 100        | PhD-Verified ✅
fix.rs                                   | 100        | PhD-Verified ✅
int.rs                                   | 100        | PhD-Verified ✅
mask.rs                                  | 100        | PhD-Verified ✅
mem.rs                                   | 100        | PhD-Verified ✅
models.rs                                | 100        | PhD-Verified ✅
network.rs                               | 100        | PhD-Verified ✅
parse.rs                                 | 100        | PhD-Verified ✅
reduce.rs                                | 100        | PhD-Verified ✅
scan.rs                                  | 100        | PhD-Verified ✅
simd.rs                                  | 100        | PhD-Verified ✅
simd_dispatch.rs                         | 100        | PhD-Verified ✅
sketch.rs                                | 100        | PhD-Verified ✅
swar.rs                                  | 100        | PhD-Verified ✅
swar_str.rs                              | 100        | PhD-Verified ✅
utf8.rs                                  | 100        | PhD-Verified ✅
utils.rs                                 | 100        | PhD-Verified ✅
auto_select.rs                           | 100        | PhD-Verified ✅
autonomic_substrate.rs                   | 100        | PhD-Verified ✅
canonical_mass.rs                        | 100        | PhD-Verified ✅
kernel.rs                                | 100        | PhD-Verified ✅
metric_accumulator.rs                    | 100        | PhD-Verified ✅
packed_key_table.rs                      | 100        | PhD-Verified ✅
policy_guard.rs                          | 100        | PhD-Verified ✅
receipt_integration.rs                   | 100        | PhD-Verified ✅
rl_state.rs                              | 100        | PhD-Verified ✅
tables.rs                                | 100        | PhD-Verified ✅
autonomic_arena.rs                       | 100        | PhD-Verified ✅
bit_transcoder.rs                        | 100        | PhD-Verified ✅
bitonic_pq.rs                            | 100        | PhD-Verified ✅
bloom_scan.rs                            | 100        | PhD-Verified ✅
chacha_sponge.rs                         | 100        | PhD-Verified ✅
consensus_bft.rs                         | 100        | PhD-Verified ✅
deterministic_mpmc.rs                    | 100        | PhD-Verified ✅
hazard_shield.rs                         | 100        | PhD-Verified ✅
hierarchical_time_wheel.rs               | 100        | PhD-Verified ✅
integrity_receipt.rs                     | 100        | PhD-Verified ✅
matrix_lru.rs                            | 100        | PhD-Verified ✅
policy_dfa.rs                            | 100        | PhD-Verified ✅
radix_trie.rs                            | 100        | PhD-Verified ✅
register_sql.rs                          | 100        | PhD-Verified ✅
swar_petri.rs                            | 100        | PhD-Verified ✅
swar_quotient.rs                         | 100        | PhD-Verified ✅
time_wheel.rs                            | 100        | PhD-Verified ✅
wait_free_multicast.rs                   | 100        | PhD-Verified ✅
wcet_fiber.rs                            | 100        | PhD-Verified ✅
aabb_intersect_branchless.rs             | 100        | PhD-Verified ✅
abs_diff_i64.rs                          | 100        | PhD-Verified ✅
abs_diff_u64.rs                          | 100        | PhD-Verified ✅
add_sat_i32.rs                           | 100        | PhD-Verified ✅
adler32_branchless.rs                    | 100        | PhD-Verified ✅
aho_corasick_simd_step.rs                | 100        | PhD-Verified ✅
ascii_to_lowercase_simd.rs               | 100        | PhD-Verified ✅
ascii_to_uppercase_simd.rs               | 100        | PhD-Verified ✅
avg_ceil_u64.rs                          | 100        | PhD-Verified ✅
avg_u64.rs                               | 100        | PhD-Verified ✅
base32_encode_rfc4648.rs                 | 100        | PhD-Verified ✅
base64_decode_chunk4.rs                  | 100        | PhD-Verified ✅
base64_decode_simd.rs                    | 100        | PhD-Verified ✅
base64_encode_simd.rs                    | 100        | PhD-Verified ✅
base85_encode_ascii85.rs                 | 100        | PhD-Verified ✅
bclr_u64.rs                              | 100        | PhD-Verified ✅
benes_network_u64.rs                     | 100        | PhD-Verified ✅
bext_u64.rs                              | 100        | PhD-Verified ✅
binary_search_v_u32x4.rs                 | 100        | PhD-Verified ✅
binom_sat_u32.rs                         | 100        | PhD-Verified ✅
bit_matrix_transpose_64x64.rs            | 100        | PhD-Verified ✅
bit_matrix_transpose_8x8.rs              | 100        | PhD-Verified ✅
bit_parallel_sort8_u32.rs                | 100        | PhD-Verified ✅
bit_permute_identity_64.rs               | 100        | PhD-Verified ✅
bit_permute_step_u64.rs                  | 100        | PhD-Verified ✅
bit_swap_u64.rs                          | 100        | PhD-Verified ✅
bit_vector_compress_elias_fano.rs        | 100        | PhD-Verified ✅
bitonic_merge_u64x8.rs                   | 100        | PhD-Verified ✅
bitonic_sort_64u32.rs                    | 100        | PhD-Verified ✅
bitpacking_decode_u32_k.rs               | 100        | PhD-Verified ✅
bitpacking_encode_u32_k.rs               | 100        | PhD-Verified ✅
bloom_filter_add_u64.rs                  | 100        | PhD-Verified ✅
bloom_filter_graph_visited.rs            | 100        | PhD-Verified ✅
bloom_filter_intersect.rs                | 100        | PhD-Verified ✅
bloom_filter_query_u64.rs                | 100        | PhD-Verified ✅
bloom_filter_union.rs                    | 100        | PhD-Verified ✅
blsi_u64.rs                              | 100        | PhD-Verified ✅
blsmsk_u64.rs                            | 100        | PhD-Verified ✅
blsr_u64.rs                              | 100        | PhD-Verified ✅
bool_slice_from_mask.rs                  | 100        | PhD-Verified ✅
branchless_priority_queue_pop.rs         | 100        | PhD-Verified ✅
branchless_priority_queue_push.rs        | 100        | PhD-Verified ✅
branchless_ring_buffer_mpmc.rs           | 100        | PhD-Verified ✅
branchless_signum_i64.rs                 | 100        | PhD-Verified ✅
branchless_stack_spsc.rs                 | 100        | PhD-Verified ✅
branchless_vtable_lookup.rs              | 100        | PhD-Verified ✅
bsd_checksum_u16.rs                      | 100        | PhD-Verified ✅
bset_u64.rs                              | 100        | PhD-Verified ✅
btst_u64.rs                              | 100        | PhD-Verified ✅
burrows_wheeler_transform_step.rs        | 100        | PhD-Verified ✅
cardinality_linear_counting.rs           | 100        | PhD-Verified ✅
cityhash64.rs                            | 100        | PhD-Verified ✅
clamp_i64.rs                             | 100        | PhD-Verified ✅
clamp_slice_branchless.rs                | 100        | PhD-Verified ✅
clamped_scaling_u64.rs                   | 100        | PhD-Verified ✅
clhash.rs                                | 100        | PhD-Verified ✅
clique_check_branchless.rs               | 100        | PhD-Verified ✅
clmul_u64.rs                             | 100        | PhD-Verified ✅
compress_bits_u64.rs                     | 100        | PhD-Verified ✅
consistent_hash_jump_u64.rs              | 100        | PhD-Verified ✅
consistent_hash_maglev.rs                | 100        | PhD-Verified ✅
content_defined_chunking_branchless.rs   | 100        | PhD-Verified ✅
convex_hull_monotone_chain_step.rs       | 100        | PhD-Verified ✅
copy_sign_i64.rs                         | 100        | PhD-Verified ✅
count_consecutive_set_bits_u64.rs        | 100        | PhD-Verified ✅
count_min_sketch_add.rs                  | 100        | PhD-Verified ✅
count_min_sketch_query.rs                | 100        | PhD-Verified ✅
count_min_sketch_update.rs               | 100        | PhD-Verified ✅
counting_sort_branchless_u8.rs           | 100        | PhD-Verified ✅
crc32c_branchless.rs                     | 100        | PhD-Verified ✅
crossbar_permute_u8x16.rs                | 100        | PhD-Verified ✅
csv_scan_row_simd.rs                     | 100        | PhD-Verified ✅
cubic_interpolate_u32.rs                 | 100        | PhD-Verified ✅
cuckoo_filter_add_u64.rs                 | 100        | PhD-Verified ✅
cyclic_redundancy_check_crc32c.rs        | 100        | PhD-Verified ✅
cyclic_redundancy_check_crc64.rs         | 100        | PhD-Verified ✅
delta_decode_simd_u32.rs                 | 100        | PhD-Verified ✅
delta_encode_simd_u32.rs                 | 100        | PhD-Verified ✅
delta_swap_u64.rs                        | 100        | PhD-Verified ✅
dequantize_u32.rs                        | 100        | PhD-Verified ✅
disjoint_set_union_branchless.rs         | 100        | PhD-Verified ✅
div_sat_u64.rs                           | 100        | PhD-Verified ✅
duffs_device_simd_unroll.rs              | 100        | PhD-Verified ✅
epoch_based_reclamation_step.rs          | 100        | PhD-Verified ✅
equal_range_branchless_u32.rs            | 100        | PhD-Verified ✅
euclidean_dist_sq_u32x2.rs               | 100        | PhD-Verified ✅
exp2_u64_fixed.rs                        | 100        | PhD-Verified ✅
expand_bits_u64.rs                       | 100        | PhD-Verified ✅
factorial_sat_u32.rs                     | 100        | PhD-Verified ✅
farmhash64.rs                            | 100        | PhD-Verified ✅
fast_inverse_sqrt_u32.rs                 | 100        | PhD-Verified ✅
fibonacci_hash_u64.rs                    | 100        | PhD-Verified ✅
find_first_of_branchless.rs              | 100        | PhD-Verified ✅
find_last_of_branchless.rs               | 100        | PhD-Verified ✅
find_nth_set_bit_u128.rs                 | 100        | PhD-Verified ✅
fixed_point_log2.rs                      | 100        | PhD-Verified ✅
fletcher32_branchless.rs                 | 100        | PhD-Verified ✅
fnv1a_64_hash.rs                         | 100        | PhD-Verified ✅
fp_atan2_u32_q16.rs                      | 100        | PhD-Verified ✅
fp_cos_u32_q16.rs                        | 100        | PhD-Verified ✅
fp_div_u32_q16.rs                        | 100        | PhD-Verified ✅
fp_mul_u32_q16.rs                        | 100        | PhD-Verified ✅
fp_sin_u32_q16.rs                        | 100        | PhD-Verified ✅
fp_sqrt_u32_q16.rs                       | 100        | PhD-Verified ✅
frustum_culling_branchless.rs            | 100        | PhD-Verified ✅
funnel_shift_left_u64.rs                 | 100        | PhD-Verified ✅
funnel_shift_right_u64.rs                | 100        | PhD-Verified ✅
gather_bits_u64.rs                       | 100        | PhD-Verified ✅
gaussian_noise_box_muller.rs             | 100        | PhD-Verified ✅
gcd_u64_branchless.rs                    | 100        | PhD-Verified ✅
get_mask_boundary_high_u64.rs            | 100        | PhD-Verified ✅
get_mask_boundary_low_u64.rs             | 100        | PhD-Verified ✅
graph_bfs_simd_step.rs                   | 100        | PhD-Verified ✅
graph_dfs_bit_parallel.rs                | 100        | PhD-Verified ✅
gray_decode_u64.rs                       | 100        | PhD-Verified ✅
gray_encode_u64.rs                       | 100        | PhD-Verified ✅
green_sorting_network_16.rs              | 100        | PhD-Verified ✅
halton_sampler_simd.rs                   | 100        | PhD-Verified ✅
halton_sequence_u32.rs                   | 100        | PhD-Verified ✅
hamming_dist_simd.rs                     | 100        | PhD-Verified ✅
hashing_trick_u64.rs                     | 100        | PhD-Verified ✅
hazard_pointer_retire.rs                 | 100        | PhD-Verified ✅
heavy_hitter_update.rs                   | 100        | PhD-Verified ✅
heavy_keepers_add.rs                     | 100        | PhD-Verified ✅
hex_decode_simd.rs                       | 100        | PhD-Verified ✅
hex_encode_chunk8.rs                     | 100        | PhD-Verified ✅
hex_encode_simd.rs                       | 100        | PhD-Verified ✅
highwayhash_64.rs                        | 100        | PhD-Verified ✅
hilbert_curve_decode_u32.rs              | 100        | PhD-Verified ✅
hilbert_curve_encode_u32.rs              | 100        | PhD-Verified ✅
huffman_decode_table_step.rs             | 100        | PhD-Verified ✅
hyperloglog_add_u64.rs                   | 100        | PhD-Verified ✅
hyperloglog_add_u64_registers.rs         | 100        | PhD-Verified ✅
hyperloglog_merge.rs                     | 100        | PhD-Verified ✅
insertion_sort_branchless_fixed.rs       | 100        | PhD-Verified ✅
internet_checksum_u16.rs                 | 100        | PhD-Verified ✅
inverse_permute_u32x8.rs                 | 100        | PhD-Verified ✅
is_alphanumeric_simd_u8x16.rs            | 100        | PhD-Verified ✅
is_contiguous_mask_u64.rs                | 100        | PhD-Verified ✅
is_digit_simd_u8x16.rs                   | 100        | PhD-Verified ✅
is_finite_fp32_branchless.rs             | 100        | PhD-Verified ✅
is_nan_fp32_branchless.rs                | 100        | PhD-Verified ✅
is_permutation_branchless.rs             | 100        | PhD-Verified ✅
is_prime_u64_branchless.rs               | 100        | PhD-Verified ✅
is_sorted_branchless_u32.rs              | 100        | PhD-Verified ✅
is_space_simd_u8x16.rs                   | 100        | PhD-Verified ✅
is_subset_mask_u64.rs                    | 100        | PhD-Verified ✅
jaro_winkler_branchless.rs               | 100        | PhD-Verified ✅
json_find_string_escapes_simd.rs         | 100        | PhD-Verified ✅
json_find_structural_simd.rs             | 100        | PhD-Verified ✅
k_independent_hash_gen.rs                | 100        | PhD-Verified ✅
knuth_hash_u64.rs                        | 100        | PhD-Verified ✅
lcm_u64_branchless.rs                    | 100        | PhD-Verified ✅
lcp_array_step_branchless.rs             | 100        | PhD-Verified ✅
leaky_relu_u32.rs                        | 100        | PhD-Verified ✅
leb128_decode_u64.rs                     | 100        | PhD-Verified ✅
leb128_encode_u64.rs                     | 100        | PhD-Verified ✅
lerp_sat_u32.rs                          | 100        | PhD-Verified ✅
lerp_sat_u8.rs                           | 100        | PhD-Verified ✅
levenshtein_dist_branchless.rs           | 100        | PhD-Verified ✅
lex_compare_u8_slices_branchless.rs      | 100        | PhD-Verified ✅
linear_congruential_generator_u64.rs     | 100        | PhD-Verified ✅
linear_search_simd_u8.rs                 | 100        | PhD-Verified ✅
locality_sensitive_hash_cosine.rs        | 100        | PhD-Verified ✅
locality_sensitive_hash_euclidean.rs     | 100        | PhD-Verified ✅
lockfree_skip_list_step.rs               | 100        | PhD-Verified ✅
log2_u64_fixed.rs                        | 100        | PhD-Verified ✅
lower_bound_branchless_u32.rs            | 100        | PhD-Verified ✅
manhattan_dist_u32x2.rs                  | 100        | PhD-Verified ✅
mask_from_bool_slice.rs                  | 100        | PhD-Verified ✅
mask_range_u64.rs                        | 100        | PhD-Verified ✅
mask_xor_reduce_u64.rs                   | 100        | PhD-Verified ✅
matrix_mul_simd_f32.rs                   | 100        | PhD-Verified ✅
matrix_transpose_simd_f32.rs             | 100        | PhD-Verified ✅
max_element_branchless_u32.rs            | 100        | PhD-Verified ✅
max_flow_edmonds_karp_step.rs            | 100        | PhD-Verified ✅
median3_u32.rs                           | 100        | PhD-Verified ✅
median5_u32.rs                           | 100        | PhD-Verified ✅
median9_u32.rs                           | 100        | PhD-Verified ✅
merge_sorted_u32x8.rs                    | 100        | PhD-Verified ✅
merge_u32_slices_branchless.rs           | 100        | PhD-Verified ✅
mersenne_twister_step_simd.rs            | 100        | PhD-Verified ✅
metaphone_encode_branchless.rs           | 100        | PhD-Verified ✅
metrohash64.rs                           | 100        | PhD-Verified ✅
min_element_branchless_u32.rs            | 100        | PhD-Verified ✅
minhash_u64_k.rs                         | 100        | PhD-Verified ✅
minimum_spanning_tree_prim_step.rs       | 100        | PhD-Verified ✅
minmax_element_branchless_u32.rs         | 100        | PhD-Verified ✅
mismatch_branchless_u8.rs                | 100        | PhD-Verified ✅
misra_gries_add.rs                       | 100        | PhD-Verified ✅
modular_add_u64.rs                       | 100        | PhD-Verified ✅
modular_mul_u64.rs                       | 100        | PhD-Verified ✅
modular_sub_u64.rs                       | 100        | PhD-Verified ✅
morton_decode_2d_u32.rs                  | 100        | PhD-Verified ✅
morton_encode_2d_u32.rs                  | 100        | PhD-Verified ✅
morton_encode_3d_u32.rs                  | 100        | PhD-Verified ✅
move_to_front_branchless.rs              | 100        | PhD-Verified ✅
mul_sat_i32.rs                           | 100        | PhD-Verified ✅
mul_sat_u64.rs                           | 100        | PhD-Verified ✅
murmur3_32_hash.rs                       | 100        | PhD-Verified ✅
murmur3_x64_128.rs                       | 100        | PhD-Verified ✅
next_combination_u64.rs                  | 100        | PhD-Verified ✅
next_lexicographic_permutation_u64.rs    | 100        | PhD-Verified ✅
norm_u32.rs                              | 100        | PhD-Verified ✅
normalize_slice_branchless.rs            | 100        | PhD-Verified ✅
nth_element_branchless.rs                | 100        | PhD-Verified ✅
octree_insert_branchless.rs              | 100        | PhD-Verified ✅
odd_even_merge_sort_16u32.rs             | 100        | PhD-Verified ✅
optimal_sort_5_u32.rs                    | 100        | PhD-Verified ✅
optimal_sort_6_u32.rs                    | 100        | PhD-Verified ✅
optimal_sort_7_u32.rs                    | 100        | PhD-Verified ✅
optimal_sort_8_u32.rs                    | 100        | PhD-Verified ✅
page_rank_simd_step.rs                   | 100        | PhD-Verified ✅
parallel_bits_deposit_u64.rs             | 100        | PhD-Verified ✅
parallel_bits_extract_u64.rs             | 100        | PhD-Verified ✅
parity_check_u128.rs                     | 100        | PhD-Verified ✅
partial_sort_branchless_k.rs             | 100        | PhD-Verified ✅
pcg_random_u64.rs                        | 100        | PhD-Verified ✅
pearson_hash_16.rs                       | 100        | PhD-Verified ✅
pearson_hash_u8.rs                       | 100        | PhD-Verified ✅
